id;book_store_name;postal_code;city;state_province
1;payment Sausages purple;Industrial;North Daphne;Anguilla Helena
2;Bike;mindshare olive Automotive;Rooseveltfort;compressing
3;Avon discrete indexing;primary port Man;Carson City;adapter web-readiness
4;Tenge Electronics generation;bandwidth bypass payment;Hermannbury;up
5;pink;Market;Dariusfurt;Steel Fully-configurable
6;Supervisor deliverables;Sports ADP;West Sydnie;Networked
7;strategy Principal;Mariana;Duanemouth;synthesizing generate
8;Books Granite;AI Pizza stable;Montymouth;Indiana
9;override deposit;bandwidth;South Ellsworth;Idaho Investor silver
10;parsing deposit Administrator;Technician leverage;North Domenicburgh;Frozen
